"단풍길종류","연번","자치구(사업소)","구분","노선명(구간)","수종","수량(그루)","연장(km)","특징(선정사유)","비고(문의처)"
"도심 속 걷기 좋은 단풍길","1","종로구","가로","삼청동길 (동십자각~삼청터널)","은행나무","188","1.2","경복궁 동측담장 따라 삼청터널까지 이어지는 은행나무 가로수길로, 노란 은행잎과 미술관, 박물관, 고궁 등 볼거리가 어우러져 많은 관광객이 찾음","도시녹지과 (2148-2862)"
"도심 속 걷기 좋은 단풍길","2","종로구","가로","효자로 (경복궁역~효자동삼거리)","은행나무, 버즘나무","212","0.8","경복궁 서측 가로수길로 수령이 오래된 버즘나무와 경복궁 담장이 어우러져 걷기 좋은 거리임","도시녹지과 (2148-2862)"
"도심 속 걷기 좋은 단풍길","3","중구","가로","덕수궁길 (대한문~서울시립미술관)","은행나무, 느티나무","94","0.3","덕수궁 옛 돌담과 은행나무 및 느티나무, 화분이 잘 어우러져 아름다운 단풍을 볼 수 있음","공원녹지과 (3396-5862)"
"도심 속 걷기 좋은 단풍길","4","중구","가로","정동길 (서울시립미술관~정동삼거리)","은행나무, 느티나무","140","0.5","서울시 '걷고 싶은 거리' 1호로 지정되어, 조선시대 이후 근대 역사를 간직한 건축물과 함께 은행나무 단풍과 어우러져 가을을 만끽할 수 있음","공원녹지과 (3396-5872)"
"도심 속 걷기 좋은 단풍길","5","중부공원여가센터","가로","세종대로","은행나무 등","208","1.5","은행나무와 수국형 등의 따스한 가로수들이 조화를 이루어 가을 정취를 느낄 수 있음","중부공원여가센터 (3783-5950)"
"도심 속 걷기 좋은 단풍길","6","용산구","가로","이태원로 (삼각지역~녹사평역)","은행나무, 버즘나무","200","1","아름드리 버즘나무가 우거져 있어 낙엽 거리의 정취를 만끽할 수 있음","공원녹지과 (2199-7623)"
"도심 속 걷기 좋은 단풍길","7","용산구","가로","청파로 (숙대역 입구교차로~삼각지 고가차도)","은행나무, 버즘나무","125","0.9","아름드리 은행나무, 버즘나무가 우거져 있고, 보행로가 잘 정비되어 산책하며 가을 분위기를 느낄 수 있음","공원녹지과 (2199-7623)"
"도심 속 걷기 좋은 단풍길","8","광진구","가로","광나루로 (어린이대공원역~구의사거리)","버즘나무, 실개천 등","300","1.1","어린이대공원 인접 버즘나무 가로수길로 아름다운 버즘나무의 고운 색과 단풍을 감상할 수 있으며, 어린이대공원 주변으로 실개천이 조성되어 있어 다양한 자연경관을 감상할 수 있음","공원녹지과 (450-7792)"
"도심 속 걷기 좋은 단풍길","9","강북구","가로","오현로20길","느티나무","69","0.31","북서울꿈의숲과 이어지는 조용한 도로로 느티나무 단풍을 즐기기에 좋은 장소임","공원녹지과 (901-6944)"
"도심 속 걷기 좋은 단풍길","10","노원구","가로","동일로 (도봉면허시험장~용학여고)","메타세쿼이아, 버즘나무 등","125","0.5","바닥분수와 야간조명 시설이 있어 산책과 음악을 즐길 수 있는 휴식공간으로 조성된 '걷고싶은 거리'임","정원도시과 (2116-3958)"
"도심 속 걷기 좋은 단풍길","11","노원구","가로","상계동 그린웨이길 (상계현1차~금호아파트)","왕벚나무 등","75","0.3","그린웨이 조성구간으로 벚나무와 다양한 관목이 식재되어 경관이 아름답고, 바닥분수와 의자 등 휴게공간이 조성되어 있는 산책로임","정원도시과 (2116-3958)"
"도심 속 걷기 좋은 단풍길","12","은평구","가로","북한산길 (구파발삼거리~북한산입구)","느티나무, 왕벚나무","368","3.5","북한산국립공원과 연결된 가로로 느티나무, 벚나무의 단풍과 국립공원의 갖가지 단풍을 즐길 수 있음","공원녹지과 (351-8013)"
"도심 속 걷기 좋은 단풍길","13","양천구","가로","신트리공원 가는길 (신트리공원~목동10단지 1018동)","느티나무","250","1.3","느티나무길 연장으로 아늑한 단풍터널을 이루며 주변 신트리 공원과 바로 연결되어 산책 및 휴식, 운동 등 다양한 활동을 할 수 있음","공원녹지과 (2620-3585)"
"도심 속 걷기 좋은 단풍길","14","양천구(신규)","가로","목동13단지 사이길 (목동동로길)","느티나무","73","0.34","아파트 지역에 터널형으로 조성된 느티나무 가로수 단풍이 아름다움","공원녹지과 (2620-3585)"
"도심 속 걷기 좋은 단풍길","15","구로구","가로","거리공원길 (구로동기슭~미래초교)","왕벚나무","212","0.8","도로 중앙에 위치한 거리공원 내 열식된 왕벚나무와 가로가 아름다운 단풍길","공원녹지과 (860-3162)"
"도심 속 걷기 좋은 단풍길","16","구로구","가로","구일중학교 앞 걷고싶은거리 (구일중학교~구일교)","느티나무, 왕벚나무","45","0.3","느티나무, 왕벚나무와 주변 아파트의 수목이 어우러져 아름다운 녹색터널로 조성된 걷고싶은 거리임","녹색도시과 (860-3162)"
"도심 속 걷기 좋은 단풍길","17","영등포구","가로","운동길 (여의도 외곽도로)","왕벚나무, 느티나무","1736","6.8","봄철엔 벚꽃, 가을엔 강변과 대형 느티나무 단풍을 감상할 수 있으며, 다양한 여유로움을 느낄 수 있는 산책로임","푸른도시과 (2670-3767)"
"도심 속 걷기 좋은 단풍길","18","관악구","가로","관악로 (서울대입구역~서울대정문)","은행나무","429","1.7","관악산으로 향하는 길로 2열 식재된 은행나무 터널사이를 거닐며 단풍을 감상할 수 있음","공원녹지과 (879-6531)"
"도심 속 걷기 좋은 단풍길","19","강남구","가로","가로수길 (도산대로~압구정로)","은행나무","126","0.7","도심 속 특화된 상점들과 은행나무 단풍이 잘 어울림","공원녹지과 (3423-6273)"
"도심 속 걷기 좋은 단풍길","20","송파구","가로","위례성길 (올림픽공원 평화의문~남문)","은행나무","1320","2.7","은행나무 병렬 노선으로 아름다운 단풍을 볼 수 있음","공원녹지과 (2147-3396)"
