"고유번호","구명","수목고유번호","구번호","동명","순번","수목명","흉고지름","수고","수관너비","위치","주변토지사용상태","품계흉고","품계활력","품계수형","품계수종","품계위치","관리등급","피해상태","학명","식생활력","품계등급","관리기관","X 좌표","Y 좌표"
"20001264","중구","2-장충동-큰-0108","02","장충동","108.00000000","느티나무","48.00000000","32.00000000","10.00000000","","60","10.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Zelkova serrata Makino","2.00000000","41.00000000","공원녹지과","199666.667","199666.6671"
"20001265","중구","2-중림동-큰-0016","02","중림동","16.00000000","느티나무","48.00000000","30.00000000","13.00000000","카톨릭중림동성당","60","10.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Zelkova serrata Makino","2.00000000","41.00000000","공원녹지과","197080.817","197080.8171"
"20001266","중구","2-중림동-큰-0109","02","중림동","109.00000000","은행나무","22.00000000","26.00000000","7.00000000","봉래초등학교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","196735.176","196735.1756"
"20001267","중구","2-장충동-큰-0071","02","장충동","71.00000000","양버즘나무","20.00000000","10.00000000","4.00000000","동국대학교","60","5.00000000","10.00000000","6.00000000","2","9","3.00000000","1.00000000","Platanus occidentalis L.","2.00000000","32.00000000","공원녹지과","200054.73","200054.7302"
"20001269","중구","2-신당3동-큰-0025","02","신당3동","25.00000000","향나무","21.00000000","4.00000000","1.00000000","남산타원","20","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juniperus chinensis L.","2.00000000","34.00000000","공원녹지과","201033.856","201033.856"
"20001270","중구","2-신당4동-큰-0050","02","신당4동","50.00000000","단풍나무","26.00000000","5.00000000","3.00000000","333-31","10","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Acer palmatum Thunb.","2.00000000","34.00000000","공원녹지과","201308.59","201308.5899"
"20001271","중구","2-회현동-큰-0201","02","회현동","201.00000000","은행나무","21.00000000","7.00000000","6.00000000","연세빌딩","70","5.00000000","10.00000000","6.00000000","6","9","3.00000000","2.00000000","Ginkgo biloba L.","0E-8","0E-8","공원녹지과","197664.731","197664.7312"
"20001272","중구","2-신당1동-큰-0119","02","신당1동","119.00000000","은행나무","29.00000000","8.00000000","5.00000000","장충초교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","201009.063","201009.0631"
"20001273","중구","2-신당1동-큰-0040","02","신당1동","40.00000000","느릅나무","38.00000000","8.00000000","6.00000000","성동기계공고","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Ulmus davidiana var","2.00000000","34.00000000","공원녹지과","201496.374","201496.3745"
"20001274","중구","2-중림동-큰-0001","02","중림동","1.00000000","느티나무","25.00000000","16.00000000","18.00000000","","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","196851.108","196851.1077"
"20001276","중구","2-신당5동-큰-0023","02","신당5동","23.00000000","느티나무","42.00000000","8.00000000","6.00000000","성동고교","60","10.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Zelkova serrata Makino","2.00000000","41.00000000","공원녹지과","202111.899","202111.8985"
"20001277","중구","2-광희동-큰-0111","02","광희동","111.00000000","은행나무","25.00000000","6.00000000","3.00000000","한양공고","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","200926.665","200926.6649"
"20001278","중구","2-신당1동-큰-0102","02","신당1동","102.00000000","회화나무","30.00000000","10.00000000","7.00000000","동대문운동장체육공원부지","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Sophora japonica L.","2.00000000","36.00000000","공원녹지과","201006.318","201006.3175"
"20001279","중구","2-광희동-큰-0103","02","광희동","103.00000000","향나무","20.00000000","3.00000000","2.00000000","33-13","10","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Juniperus chinensis L.","2.00000000","36.00000000","공원녹지과","200692.961","200692.9609"
"20001280","중구","2-명동-큰-0012","02","명동","12.00000000","느티나무","50.00000000","8.00000000","6.00000000","계성여고","60","10.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Zelkova serrata Makino","2.00000000","41.00000000","공원녹지과","198811.358","198811.3583"
"20001281","중구","2-충무로4,5동-큰-0008","02","충무로4,5동","8.00000000","은행나무","25.00000000","13.00000000","7.00000000","중구청","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","199773.864","199773.8636"
"20001378","중구","2-회현동-큰-0211","02","회현동","211.00000000","은행나무","21.00000000","6.00000000","6.00000000","연세빌딩","70","5.00000000","10.00000000","6.00000000","6","9","3.00000000","2.00000000","Ginkgo biloba L.","0E-8","0E-8","공원녹지과","197665.168","197665.168"
