가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
황금빛 가로수길,35.569709,127.748312,35.568021,127.730493,황금메타세쿼이아,160,5,2018,특색있고 차별화된 황금메타세쿼이아 조성,병곡지곡로,군도,지곡면~병곡면(지곡면 평촌리 ~ 병곡면 월암리),055-960-6010,경상남도 함양군청,2026-06-05,5460000,경상남도 함양군
명품 벚꽃 길,35.537723,127.707792,35.599874,127.667361,벚나무,1935,17,2020,함양 병곡면 ~ 서하면을 잇는 명품 벚꽃 100리길,1001호선,지방도,병곡면~서하면경계,055-960-6010,경상남도 함양군청,2026-06-05,5460000,경상남도 함양군
대봉산 자연휴양림 가로수길,35.570615,127.714839,35.576343,127.714979,미국풍나무+산딸나무,160,1.5,2018,단풍이 아름다운 미국풍나무길,311호선,군도,대봉산 자연휴양림(병곡면 광평리 654-1번지 일원),055-960-6010,경상남도 함양군청,2026-06-05,5460000,경상남도 함양군
나라꽃 무궁화 명품길,35.520381,128.500261,35.450021,128.525561,무궁화,10000,40,2000,3월1일 독립운동 향토출신 독립열사 23인의 충혼이 깃든 영산면 호국공원(작약근린공원)에서 6월25일 사변시 향토출신 전사자들의 혼을 모신 창녕읍 퇴천리 충혼탑에 귀착되는 40km의 도로에 나라꽃 무궁화 거리를 조성,지방도1080호+군도6호+군도8호+군도11호+군도34호+장마101호+장마102호+장마105호+영산203호,지방도+군도,창녕장마로~영산도천로,055-530-1654,경상남도 창녕군청,2026-05-11,5410000,경상남도 창녕군
싱그러운청도로(여름),35.390201,128.450302,35.410604,128.470502,배롱나무,914,6,2022,국도변 4계절을 느낄수 있는 가로수,국도20호선,일반국도,모강사거리 ~ 곰티재터널,054-370-2314,경상북도 청도군청,2026-06-17,5190000,경상북도 청도군
싱그러운청도로(가을),35.423801,128.425302,39.590401,128.450201,청단풍,1153,8,2022,국도변 4계절을 느낄수 있는 가로수,국도25호선,일반국도,남성현터널 ~ 모강사거리,054-370-2314,경상북도 청도군청,2026-06-17,5190000,경상북도 청도군
싱그러운청도로(봄),35.390402,128.431901,35.375703,128.361903,이팝나무,1823,11,2022,국도변 4계절을 느낄수 있는 가로수,국도20호선,일반국도,눌미사거리 ~ 풍각육교,054-370-2314,경상북도 청도군청,2026-06-17,5190000,경상북도 청도군
김천로,36.121491,128.118828,36.124744,128.104931,은행+시다,94,1.52,,성남교삼거리에서 김천역을 지나 시민탑으로 이어진 길로 은행나무와 히말라야시다가 쾌적한 경관을 제공함,,,성남교삼거리~시민탑,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
김천로,36.116657,128.127847,36.121491,128.118828,은행+시다,79,1.06,,양금굴다리 은행나무로부터 성남교삼거리의 히말라야시다로 이어진 길로 시민들의 왕래가 잦은 가로수길임,,,양금굴다리~성남교삼거리,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
괘방령로,36.127602,128.021609,36.151479,127.991139,은행,369,3.85,,기날저수지~충북경계에 형성된 은행나무길로 가을철 아름다운 황금빛 경관을 제공함,,,기날저수지~충북경계,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
공단길,36.159006,128.117501,36.147619,128.131004,은행,2700,2.56,,산업단지에 조성된 은행나무길로 가을철 멋진 정취를 느낄 수 있음,,,산업단지,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
강변로,36.112111,128.123294,36.107479,128.121225,은행,80,0.562,,김천서비스에서 양금폭포까지 은행나무길로 가을철 아름다운 황금빛 경관을 제공함,,,김천서비스~양금폭포,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
강변. 조각공원길,36.128987,128.090981,36.136395,128.090132,왕벚,99,1.08,,"강변공원에서 북부지구대를 따라 심어진 벚나무가 멋진 경관을 형성하며, 산책하기 좋은 가로수길임",,,강변공원~북부지구대,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
강변. 조각공원길,36.129507,128.117073,36.128987,128.090981,왕벚,310,2.88,,직지천 옆에 조성된 왕벚나무길은 2012년 경관조명 설치로 김천시민들이 즐겨찾는 봄철 명소임,,,조각공원~강변공원,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
강변. 조각공원길,36.129704,128.118253,36.126974,128.130505,왕벚,290,0.811,,직지교~속구미 양쪽에 벚나무가 식재되어 봄철 아름다운 경관을 볼 수 있음,,,직지교~속구미(양쪽),054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
부곡중앙4길,36.125654,128.101028,36.126102,128.102957,왕벚,37,0.178,,우방아파트 뒤 도로개설하면서 주변과 어울어진 벚나무길을 조성함,,,우방아파트 뒤 도로개설,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
부곡맛고을1길,36.124111,128.095624,36.124169,128.089663,메타,55,0.533,,대곡동 택지지구에 심어진 메타세콰이아가 쾌적한 보행환경을 제공함,,,대곡동 택지지구,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
부곡길,36.125652,128.100851,36.124121,128.088928,느티,263,0.946,,우방아파트에서 부곡근린공원으로 이어진 느티나무길로 많은 시민들이 애용하는 산책길임,,,우방아파트~부곡근린공원,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
부거리길,36.134031,128.116406,36.133867,128.100746,왕벚,224,1.04,,"부거리~생명과학고로 이어진 왕벚나무길로 봄철 아름다운 경관을 제공하며, 시민들의 왕래가 잦은 산책길임",,,부거리~생명과학고,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
봉산로,36.137897,128.064831,36.140109,128.063685,왕벚,128,7.22,,봉산신리(봉계통로)에 심어진 벚나무길로 마을사람들이 애정하는 가로수길임,,,봉산신리(봉계통로),054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
봉산로,36.156545,128.021788,36.182936,128.011991,왕벚,15,2.3,,봉산 신암에 심어진 벚나무길로 마을사람들이 애정하는 가로수길임,,,봉산 신암,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
문당길,36.137069,128.090402,36.143748,128.098042,은행,224,1.31,,구북부지구대에서 교동코아루로 이어진 은행나무길로 주민들의 쾌적한 보행환경을 제공함,,,구북부지구대~교동코아루,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
문당길,36.137069,128.090402,36.141069,128.092896,왕벚,86,0.639,,구북부지구대에서 직업훈련원으로 이어진 왕벚나무길로 봄철 아름다운 경관을 제공함,,,구북부지구대~직업훈련원,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
무실7길,36.115179,128.155547,36.112665,128.155061,은행,42,0.487,,지좌동 주공진입도로에 조성된 은행나무길로 아름다운 가로경관을 제공함,,,지좌동 주공진입도로,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
모암길,36.124626,128.123791,36.126265,128.119541,이팝,126,0.547,,모암초교에서 한국전력으로 이어진 이팝나무 가로수가 쾌적한 보행환경을 조성함,,,모암초교~한국전력,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
대학로,36.137552,128.087892,36.141942,128.087897,메타,54,0.801,,운동장길(예술회관통로)에 조성된 메타세콰이아길로 시민들이 사랑하는 산책길임,,,운동장길(예술회관통로),054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
대학로,36.129787,128.100698,36.137541,128.087799,배롱,276,3.17,,교동교에서~종합운동장으로 이어진 가로수길로 여름철 아름다운 배롱나무 꽃길이 조성됨,,,교동교~운동장,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
대학로,36.137541,128.087799,36.138495,128.066611,은행,155,2.71,,종합운동장에서 봉산경계로 이어진 은행나무길로 가을철 황금빛 경관을 제공함,,,운동장~봉산경계,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
대학로,36.136373,128.075794,36.136416,128.078411,왕벚,74,0.655,,거문들1길에 있는 왕벚나무 가로수 길로 봄철 예쁜 골목길을 형성함,,,거문들1길,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
다삼로,36.136766,128.081154,36.126026,128.079818,왕벚+배롱,335,2.24,,"김천대학에서 다수동으로 이어진 벚나무, 배롱나무길로 봄철 아름다운 산책로를 제공함",,,김천대학~다수동,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
부항댐,35.978425,127.979484,35.978266,128.014194,왕벚,300,3.2,,댐우안도로에 조성된 왕벚나무길로 봄철 아름다운 경관을 형성함,,,댐우안도로,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
부항댐,35.979447,127.994971,35.976651,128.013842,왕벚,371,1.98,,단산1교에서 부항육교로 이어진 왕벚나무길로 봄철 아름다운 가로경관을 형성함,,,단산1교~부항육교,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
부항댐,35.987801,127.996177,35.999583,127.985691,은행,171,1.86,,부항경관대교에서 희곡교로 이어진 은행나무길로 가을철 멋진 은행나무길을 형성함,,,부항경관대교~희곡교,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
부항댐,35.977465,127.979305,35.981225,128.008124,왕벚,311,3.31,,지좌교에서 본댐까지 이어지는 왕벚나무길로 아름다운 가로 경관을 형성함,,,지좌교~본댐,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.129704,128.118253,36.124834,128.130291,이팝,87,2.55,,직지교에서 김천대교로 이어진 이팝나무길로 통행이 잦은 대로에 쾌적한 도시환경을 조성함,,,직지교~김천대교,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.124834,128.130291,36.118361,128.144281,이팝,141,1.43,,김천대교에서 교도소로 이어진 이팝나무길로 쾌적한 도시환경을 조성함,,,김천대교~교도소,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
연명로,36.085972,128.189533,36.069971,128.211343,왕벚,203,2.56,,농소연명도로에 조성된 벚나무길로 쾌적한 도로환경을 형성함,,,농소연명도로,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
어모문화3길,36.180776,128.119371,36.180988,128.113725,은행,104,0.531,,어모문화마을외에 형성된 은행나무길로 마을사람들이 사랑하는 은행나무길임,,,어모문화마을외,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
어모로,36.161951,128.116856,36.163304,128.126478,왕벚,30,0.895,,상주경계에 형성된 벚나무 길로 아름다운 도시경관을 제공함,,,상주경계,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
양지들길,36.130685,128.087707,36.135781,128.077178,왕벚,117,2.35,,강변공원에서 거문들제방으로 이어진 왕벚나무길로 봄철 숨은 벚나무 명소임,,,강변공원~거문들제방,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
양금로,36.091796,128.115191,36.082895,128.099639,은행,293,1.87,,조마입구~구성경계,,,조마입구~구성경계,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
양금로,36.116657,128.127847,36.107561,128.121196,은행,279,1.36,,양금굴다리에서 양금폭포로 이어진 은행나무길로 많은 시민들이 애용하는 가로수길임,,,양금굴다리~양금폭포,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
양금로,36.098419,128.117377,36.091796,128.115191,은행,173,0.802,,하로길입구에서 조마입구로 이어진 은행나무 가로수길로 가을의 아름다운 경관을 느낄 수 있는 가로수길임,,,하로길입구~조마입구,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
